Gaz ID,Feature Name,Class,County,State,Map,Elevation,Latitude,Longitude,Bgn Decision Date,Entry Date,Census Code,Census Classification Code,GSA Code,OPM Code,County FIPS Code,State FIPS Code
173181,Wolford Mountain,Summit,Grand County,Colorado,Kremmling,2798,40.1177882,-106.3916032,None,10/13/78,null,null,null,null,8049,8
171535,Wolf Mountain,Summit,Moffat County,Colorado,Citadel Plateau,2275,40.3710086,-108.1666991,None,10/13/78,null,null,null,null,8081,8
171340,Wolf Mountain,Summit,Routt County,Colorado,Wolf Mountain,2796,40.5891275,-107.1109455,None,10/13/78,null,null,null,null,8107,8
185429,Wolf Hill,Summit,Mesa County,Colorado,Pine Mountain,2820,38.692967,-108.7538497,None,10/13/78,null,null,null,null,8077,8
188578,Wolcott Mountain,Summit,Ouray County,Colorado,Mount Sneffels,3977,38.0162838,-107.8474893,None,10/13/78,null,null,null,null,8091,8
192335,Wixson Mountain,Summit,Custer County,Colorado,Deer Peak,3393,38.0965718,-105.2128743,None,10/13/78,null,null,null,null,8027,8
181384,Witter Peak,Summit,Clear Creek County,Colorado,Empire,3928,39.8145101,-105.7162558,None,10/13/78,null,null,null,null,8019,8
191402,Witcher Mountain,Summit,Park County,Colorado,Witcher Mountain,3044,38.7609027,-105.4314352,None,10/13/78,null,null,null,null,8093,8
182358,Wise Mountain,Summit,Summit County,Colorado,Keystone,3673,39.5113069,-105.9042759,None,10/13/78,null,null,null,null,8117,8
203100,Winter Mesa,Summit,Montrose County,Colorado,Camel Back,2155,38.5562015,-108.224104,None,10/13/78,null,null,null,null,8085,8
190994,Winter Hills,Summit,Archuleta County,Colorado,Serviceberry Mountain,2566,37.1677797,-106.9018198,None,10/13/78,null,null,null,null,8007,8
181487,Winnebago Hill,Summit,Gilpin County,Colorado,Central City,2674,39.8052592,-105.5119314,None,10/13/78,null,null,null,null,8047,8
189146,Winfield Peak,Summit,Chaffee County,Colorado,Winfield,3983,38.9758202,-106.481503,1/1/81,10/13/78,null,null,null,null,8015,8
171351,Windy Point,Summit,Routt County,Colorado,Mount Harris,2064,40.4317371,-107.1488055,None,10/13/78,null,null,null,null,8107,8
183506,Windy Peak,Summit,Park County,Colorado,Windy Peak,3650,39.3022842,-105.4398189,1/1/94,8/31/92,null,null,null,null,8093,8
189838,Windy Peak,Summit,Saguache County,Colorado,Chester,3623,38.3519373,-106.265292,None,10/13/78,null,null,null,null,8109,8
190650,Windy Mountain,Summit,Rio Grande County,Colorado,Jasper,3846,37.4661102,-106.4019704,None,10/13/78,null,null,null,null,8105,8
187990,Windom Peak,Summit,La Plata County,Colorado,Columbine Pass,4293,37.621313,-107.5917613,1/1/74,10/13/78,null,null,null,null,8067,8
187455,Wilson Peak,Summit,San Miguel County,Colorado,Mount Wilson,4275,37.8602995,-107.9846517,None,10/13/78,null,null,null,null,8113,8
202390,Wilson Mesa,Summit,San Miguel County,Colorado,Gray Head,3079,37.9374537,-107.9529892,None,10/13/78,null,null,null,null,8113,8
173328,Wilson Mesa,Summit,Rio Blanco County,Colorado,Sleepy Cat Peak,2870,40.2028699,-107.5166368,None,10/13/78,null,null,null,null,8103,8
2791179,Willow Peak,Summit,Garfield County,Colorado,Broken Rib Creek,3053,39.6611037,-107.1700094,None,3/23/18,null,null,null,null,8045,8
190759,Willow Mountain,Summit,Conejos County,Colorado,Red Mountain,3626,37.3257647,-106.427204,None,10/13/78,null,null,null,null,8021,8
190152,Willow Mesa,Summit,Saguache County,Colorado,Stewart Peak,3824,38.0311083,-106.9081254,None,10/13/78,null,null,null,null,8109,8
203338,Willow Creek Mesa,Summit,Gunnison County,Colorado,Poison Draw,2697,38.3590793,-107.2911078,None,10/13/78,null,null,null,null,8051,8
196505,Willoughby Mountain,Summit,Pitkin County,Colorado,Highland Peak,4000,39.1428257,-106.9950346,1/1/75,7/1/90,null,null,null,null,8097,8
175691,Williams Peak,Summit,Grand County,Colorado,Battle Mountain,3540,39.8773475,-106.2063198,None,10/13/78,null,null,null,null,8049,8
182581,Wilds Peak,Summit,Jefferson County,Colorado,Indian Hills,2280,39.528755,-105.1790394,None,10/13/78,null,null,null,null,8059,8
171164,Wildhorse Tit,Summit,Weld County,Colorado,Eastman Creek SE,1663,40.7949746,-104.5716599,None,10/13/78,null,null,null,null,8123,8
188653,Wildhorse Peak,Summit,Ouray County,Colorado,Wetterhorn Peak,4037,38.0132545,-107.5775916,None,10/13/78,null,null,null,null,8091,8
179177,Wildhorse Mesa,Summit,Montezuma County,Colorado,Wetherill Mesa,2320,37.2297758,-108.5699905,1/1/34,10/13/78,null,null,null,null,8083,8
179787,Wildcat Mountain,Summit,Pitkin County,Colorado,Nast,3688,39.2794092,-106.5427121,None,10/13/78,null,null,null,null,8097,8
183364,Wildcat Mountain,Summit,Douglas County,Colorado,Kassler,2027,39.4050534,-105.0218988,None,10/13/78,null,null,null,null,8035,8
180710,Wildcat Mound,Summit,Weld County,Colorado,Milliken,1502,40.2910893,-104.861529,None,10/13/78,null,null,null,null,8123,8
195902,Wildcat Hill,Summit,Bent County,Colorado,Ninaview,1370,37.6993236,-103.1689177,None,10/13/78,null,null,null,null,8011,8
185998,Wild Steer Mesa,Summit,Montrose County,Colorado,Bull Canyon,2154,38.212647,-108.8634158,None,10/13/78,null,null,null,null,8085,8
183901,Wild Oat Mesa,Summit,La Plata County,Colorado,Monument Hill,3148,37.3919562,-107.9778526,1/1/49,10/13/78,null,null,null,null,8067,8
193643,Wild Mountain,Summit,Fremont County,Colorado,Mount Pittsburg,2032,38.5425689,-104.9427483,None,10/13/78,null,null,null,null,8043,8
201953,Wild Mountain,Summit,Moffat County,Colorado,Hoy Mountain,2697,40.6453646,-109.0391453,None,10/13/78,null,null,null,null,8081,8
203154,Wild Cow Mesa,Summit,Montrose County,Colorado,Windy Point,1881,38.3928396,-108.6215348,None,10/13/78,null,null,null,null,8085,8
203208,Wilbanks Mesa,Summit,Delta County,Colorado,Dry Creek,2493,38.9649528,-107.8674039,None,10/13/78,null,null,null,null,8029,8
202990,Wickenson Mountain,Summit,La Plata County,Colorado,Ludwig Mountain,2678,37.3208304,-107.5133776,None,10/13/78,null,null,null,null,8067,8
202364,Wichita Mountain,Summit,Summit County,Colorado,Vail Pass,3309,39.5724966,-106.128174,None,10/13/78,null,null,null,null,8117,8
2512539,Whittaker Point,Summit,Eagle County,Colorado,Fulford,2770,39.5690777,-106.7189439,11/13/08,11/13/08,null,null,null,null,8037,8
179528,Whitney Peak,Summit,Eagle County,Colorado,Mount of the Holy Cross,4041,39.432725,-106.4729461,None,10/13/78,null,null,null,null,8037,8
174627,Whitewater Hill,Summit,Mesa County,Colorado,Clifton,1507,39.015776,-108.4892895,None,10/13/78,null,null,null,null,8077,8
179246,Whites Mesa,Summit,Montezuma County,Colorado,Moccasin Mesa,2422,37.2430802,-108.3851805,1/1/34,10/13/78,null,null,null,null,8083,8
172990,Whiteley Peak,Summit,Grand County,Colorado,Whiteley Peak,3076,40.3178688,-106.4929939,None,10/13/78,null,null,null,null,8049,8
188617,Whitehouse Mountain,Summit,Ouray County,Colorado,Ouray,4114,38.0202385,-107.7379992,None,10/13/78,null,null,null,null,8091,8
